Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2020 [YR2020]
Argentina,ARG,Access to electricity (% of population),EG.ELC.ACCS.ZS,98.82,100
Brazil,BRA,Access to electricity (% of population),EG.ELC.ACCS.ZS,98.6,99.7027130126953
Chile,CHL,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.5258941650391,100
Ecuador,ECU,Access to electricity (% of population),EG.ELC.ACCS.ZS,97.462142,98.85
Colombia,COL,Access to electricity (% of population),EG.ELC.ACCS.ZS,96.788995,99.7217559814453
Bolivia,BOL,Access to electricity (% of population),EG.ELC.ACCS.ZS,87.9524154663086,97.2218170166016
Peru,PER,Access to electricity (% of population),EG.ELC.ACCS.ZS,88.123061,96.2
Paraguay,PRY,Access to electricity (% of population),EG.ELC.ACCS.ZS,97.43086,99.7
Uruguay,URY,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.3,100
,,,,,
,,,,,
,,,,,
Data from database: World Development Indicators,,,,,
Last Updated: 12/18/2023,,,,,
